point_id,mean,min,max,std,status,lc2022,total_peaks,geo
00000000000000000091,0.5757,0.3075,0.9216,0.1498,STABLE NON-CROP (Forest),4,17.0,"{""type"":""Point"",""coordinates"":[82.01003414826259,29.77551351135325]}"
00000000000000000092,0.7065,0.3606,0.9437,0.1232,STABLE NON-CROP (Forest),4,21.0,"{""type"":""Point"",""coordinates"":[86.16213501238083,27.62710078739881]}"
00000000000000000093,,,,,DISCARDED (Insufficient Samples),11,,"{""type"":""Point"",""coordinates"":[86.50924481568421,27.01346159592886]}"
00000000000000000094,0.651,0.3839,0.8765,0.1133,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[82.07147610167802,28.43477776120947]}"
00000000000000000095,0.6115,0.256,0.9704,0.1633,STABLE NON-CROP (Forest),4,14.0,"{""type"":""Point"",""coordinates"":[80.73963625813587,29.706254753791136]}"
00000000000000000096,0.697,0.4392,0.8705,0.1014,STABLE NON-CROP (Rangeland),4,21.0,"{""type"":""Point"",""coordinates"":[81.30907683996406,28.99263359850081]}"
00000000000000000097,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[81.39800915137398,28.596473683609517]}"
00000000000000000098,0.6251,0.3332,0.9298,0.1536,STABLE NON-CROP (Forest),4,23.0,"{""type"":""Point"",""coordinates"":[80.57740078450834,29.666368094868055]}"
00000000000000000099,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[85.59835302978945,28.304072591130854]}"
0000000000000000009a,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.50106436300537,27.184320970993742]}"
0000000000000000009b,0.683,0.3387,0.9165,0.1361,STABLE NON-CROP (Forest),11,18.0,"{""type"":""Point"",""coordinates"":[82.5538705718419,28.126747519538476]}"
0000000000000000009c,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[81.64890939034822,29.90675823265932]}"
0000000000000000009d,0.7053,0.4624,0.8487,0.0815,STABLE NON-CROP (Rangeland),4,18.0,"{""type"":""Point"",""coordinates"":[80.68600664976607,29.22116252748991]}"
