filename,geoReg,ALV,MoranI,ALV_norm,MoranI_norm,Global_Score
s-3_n-6_cn-4_cm-5.geojson,2,0.0005648070785405864,0.7411362208280432,0.1560552441125688,0.9923444874865849,1.1483997315991537
s-9_n-18_cn-8_cm-6.geojson,2,0.001285365258778391,0.6373658096629445,0.787075262783656,0.36280013057792015,1.1498753933615762
s-3_n-6_cn-8_cm-6.geojson,2,0.0005594883347082062,0.7423379084479034,0.1513974192145048,0.9996347704425458,1.1510321896570506
s-10_n-20_cn-8_cm-7.geojson,2,0.0013912676494404795,0.6222773495018646,0.8798179869185054,0.27126291064981967,1.151080897568325
s-3_n-6_cn-8_cm-7.geojson,2,0.000561028530667284,0.7423112561237046,0.1527462269992331,0.9994730786836964,1.1522193056829295
s-3_n-6_cn-4_cm-6.geojson,2,0.0005678345203534654,0.7413354940134104,0.1587064892745598,0.9935534188950913,1.1522599081696512
s-3_n-6_cn-4_cm-7.geojson,2,0.0005688668722263161,0.7412442014100772,0.15961055880835706,0.9929995737034744,1.1526101325118314
s-3_n-6_cn-8_cm-8.geojson,2,0.0005613202588754093,0.7423981107528415,0.15300170441158775,1.0,1.1530017044115877
s-9_n-18_cn-4_cm-6.geojson,2,0.0012805707034537173,0.6387038361112085,0.7828764895638494,0.37091754083428846,1.1537940303981378
s-3_n-6_cn-4_cm-8.geojson,2,0.0005690495416479424,0.7414816455670188,0.1597705293215045,0.9944400770936527,1.1542106064151572
s-6_n-12_cn-8_cm-4.geojson,2,0.0009812620542475818,0.6829873247631912,0.520760598591463,0.6395723536279861,1.160332952219449
s-12_n-24_cn-8_cm-8.geojson,2,0.0015085889673902516,0.607646639894401,0.9825606970474072,0.18250272778522733,1.1650634248326346
s-4_n-8_cn-8_cm-4.geojson,2,0.000708511251071083,0.7245759644658195,0.2819024166523074,0.8918783158221795,1.1737807324744869
s-12_n-24_cn-4_cm-8.geojson,2,0.0015092597006610645,0.6095560022577312,0.9831480835106794,0.19408626385906896,1.1772343473697484
s-6_n-12_cn-4_cm-4.geojson,2,0.0009844260591212752,0.6865481232095768,0.523531437184697,0.6611746634082246,1.1847061005929216
s-11_n-22_cn-8_cm-8.geojson,2,0.0014744796535524506,0.6158362635262975,0.9526898823858019,0.2321867493167937,1.1848766317025956
s-10_n-20_cn-4_cm-7.geojson,2,0.0013949916877151129,0.6274820000821663,0.8830792679170996,0.3028379845627224,1.1859172524798218
s-7_n-14_cn-4_cm-5.geojson,2,0.0011212316199282891,0.6684709550461594,0.6433372348320988,0.5515058370212671,1.194843071853366
s-11_n-22_cn-4_cm-8.geojson,2,0.0014783903078080074,0.6172098507838953,0.9561145900486073,0.24051989647341987,1.196634486522027
s-7_n-14_cn-8_cm-5.geojson,2,0.0011241001838901356,0.6683945879283144,0.6458493446580759,0.5510425403304966,1.1968918849885726
s-8_n-16_cn-4_cm-6.geojson,2,0.0012531720923530255,0.6522051621202704,0.7588824907966512,0.45282608783104344,1.2117085786276947
s-4_n-8_cn-4_cm-4.geojson,2,0.0007346903705351026,0.7270890230948632,0.30482846052502616,0.9071242983785944,1.2119527589036205
s-4_n-8_cn-8_cm-5.geojson,2,0.000735706490484441,0.7270730348310462,0.3057183151502168,0.9070273023163282,1.212745617466545
